INFO] : BLE timeout event
[INFO] : BLE Event 0x400B
[INFO] : BLE Event 0x400B
[2J[;HPSoC 6 MCU With RSSI Client 
[INFO] : BLE stack started 
[INFO] : BLE Event 0x3002
[INFO] : BLE Event 0x2004
[INFO] : BLE Event 0x3006
[INFO] : BLE Event 0x3006
[INFO] : BLE Event 0x400B
Button has been pressed 
[INFO] RSSI sampling started
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -55 -63 -66 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -58 -64 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -61 -66 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -64 -64 
[INFO] RSSI values: -56 -63 -64 
[INFO] RSSI values: -56 -62 -64 
[INFO] RSSI values: -56 -62 -64 
[INFO] RSSI values: -56 -62 -64 
[INFO] RSSI values: -56 -63 -64 
[INFO] RSSI values: -56 -63 -64 
[INFO] RSSI values: -56 -65 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -63 -65 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -65 -65 
[INFO] RSSI values: -56 -65 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -56 -62 -65 
[INFO] RSSI values: -56 -62 -66 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI values: -56 -63 -66 
[INFO] RSSI sampling ended
Button has been pressed 
[INFO] RSSI sampling started
[INFO] RSSI values: -56 -64 -65 
[INFO] RSSI values: -52 -62 -64 
[INFO] RSSI values: -52 -62 -65 
[INFO] RSSI values: -52 -62 -64 
[INFO] RSSI values: -52 -62 -64 
[INFO] RSSI values: -52 -62 -64 
[INFO] RSSI values: -52 -62 -64 
[INFO] RSSI values: -52 -63 -63 
[INFO] RSSI values: -52 -63 -63 
[INFO] RSSI values: -52 -64 -63 
