[2J[;HPSoC 6 MCU With RSSI Client 
[INFO] : BLE stack started 
[INFO] RSSI values: -68 -56 -52 
[INFO] RSSI values: -69 -55 -52 
[INFO] RSSI sampling ended
[2J[;HPSoC 6 MCU With RSSI Client 
[INFO] : BLE stack started 
[INFO] : BLE Event 0x3002
[INFO] : BLE Event 0x2004
[INFO] : BLE Event 0x3006
[INFO] : BLE Event 0x3006
[INFO] : BLE Event 0x400B
Button has been pressed 
[INFO] RSSI sampling started
[INFO] RSSI values: -59 -58 -56 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -60 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -60 -51 -61 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
[INFO] RSSI values: -61 -51 -60 
