,Server-RSSI,Server-Height
246,-60.0,0.92
247,-60.0,0.92
248,-60.0,0.92
249,-59.0,0.92
250,-59.0,0.92
251,-60.0,0.92
252,-60.0,0.92
253,-60.0,0.92
254,-59.0,0.92
255,-59.0,0.92
256,-59.0,0.92
257,-59.0,0.92
258,-59.0,0.92
259,-59.0,0.92
260,-59.0,0.92
261,-59.0,0.92
262,-59.0,0.92
263,-60.0,0.92
264,-60.0,0.92
265,-60.0,0.92
266,-60.0,0.92
267,-60.0,0.92
268,-60.0,0.92
269,-60.0,0.92
270,-60.0,0.92
271,-60.0,0.92
272,-60.0,0.92
273,-60.0,0.92
274,-60.0,0.92
275,-60.0,0.92
276,-60.0,0.92
277,-60.0,0.92
278,-60.0,0.92
279,-60.0,0.92
280,-60.0,0.92
281,-60.0,0.92
282,-60.0,0.92
283,-60.0,0.92
284,-60.0,0.92
285,-60.0,0.92
286,-60.0,0.92
287,-60.0,0.92
288,-60.0,0.92
289,-60.0,0.92
290,-60.0,0.92
291,-60.0,0.92
292,-60.0,0.92
293,-60.0,0.92
294,-60.0,0.92
295,-60.0,0.92
296,-60.0,0.92
297,-60.0,0.92
298,-60.0,0.92
299,-60.0,0.92
300,-60.0,0.92
301,-60.0,0.92
302,-60.0,0.92
303,-60.0,0.92
304,-60.0,0.92
305,-60.0,0.92
306,-60.0,0.92
307,-60.0,0.92
308,-60.0,0.92
309,-60.0,0.92
310,-60.0,0.92
311,-59.0,0.92
312,-59.0,0.92
313,-59.0,0.92
314,-59.0,0.92
315,-59.0,0.92
316,-59.0,0.92
317,-59.0,0.92
318,-59.0,0.92
319,-59.0,0.92
320,-59.0,0.92
321,-59.0,0.92
322,-58.0,0.92
323,-59.0,0.92
324,-58.0,0.92
325,-58.0,0.92
326,-59.0,0.92
327,-59.0,0.92
328,-59.0,0.92
329,-59.0,0.92
330,-59.0,0.92
331,-59.0,0.92
332,-59.0,0.92
333,-59.0,0.92
334,-59.0,0.92
335,-59.0,0.92
336,-59.0,0.92
337,-59.0,0.92
338,-59.0,0.92
339,-59.0,0.92
340,-59.0,0.92
341,-59.0,0.92
342,-59.0,0.92
343,-59.0,0.92
344,-59.0,0.92
345,-59.0,0.92
346,-59.0,0.92
347,-59.0,0.92
348,-59.0,0.92
349,-59.0,0.92
350,-59.0,0.92
351,-59.0,0.92
352,-59.0,0.92
353,-59.0,0.92
354,-59.0,0.92
355,-59.0,0.92
356,-59.0,0.92
357,-59.0,0.92
358,-59.0,0.92
359,-58.0,0.92
360,-58.0,0.92
361,-58.0,0.92
362,-58.0,0.92
363,-58.0,0.92
364,-58.0,0.92
365,-58.0,0.92
366,-58.0,0.92
367,-58.0,0.92
368,-60.0,0.92
369,-58.0,0.92
370,-58.0,0.92
371,-59.0,0.92
372,-58.0,0.92
373,-59.0,0.92
374,-59.0,0.92
375,-59.0,0.92
376,-59.0,0.92
377,-59.0,0.92
378,-59.0,0.92
379,-59.0,0.92
380,-59.0,0.92
381,-59.0,0.92
382,-59.0,0.92
383,-59.0,0.92
384,-59.0,0.92
385,-59.0,0.92
386,-59.0,0.92
387,-58.0,0.92
388,-58.0,0.92
389,-58.0,0.92
390,-58.0,0.92
391,-58.0,0.92
392,-59.0,0.92
393,-59.0,0.92
394,-59.0,0.92
395,-60.0,0.92
396,-59.0,0.92
397,-59.0,0.92
398,-59.0,0.92
399,-58.0,0.92
400,-57.0,0.69
401,-56.0,0.69
402,-56.0,0.69
403,-56.0,0.69
404,-56.0,0.69
405,-56.0,0.69
406,-56.0,0.69
407,-56.0,0.69
408,-56.0,0.69
409,-56.0,0.69
410,-57.0,0.69
411,-57.0,0.69
412,-56.0,0.69
413,-55.0,0.69
414,-56.0,0.69
415,-56.0,0.69
416,-56.0,0.69
417,-56.0,0.69
418,-56.0,0.69
419,-56.0,0.69
420,-56.0,0.69
421,-56.0,0.69
422,-56.0,0.69
423,-56.0,0.69
424,-56.0,0.69
425,-56.0,0.69
426,-56.0,0.69
427,-56.0,0.69
428,-56.0,0.69
429,-56.0,0.69
430,-56.0,0.69
431,-56.0,0.69
432,-56.0,0.69
433,-56.0,0.69
434,-56.0,0.69
435,-56.0,0.69
436,-57.0,0.69
437,-57.0,0.69
438,-57.0,0.69
439,-57.0,0.69
440,-57.0,0.69
441,-57.0,0.69
442,-57.0,0.69
443,-57.0,0.69
444,-57.0,0.69
445,-57.0,0.69
446,-56.0,0.69
447,-56.0,0.69
448,-56.0,0.69
449,-56.0,0.69
450,-56.0,0.69
451,-56.0,0.69
452,-56.0,0.69
453,-56.0,0.69
454,-56.0,0.69
455,-56.0,0.69
456,-56.0,0.69
457,-56.0,0.69
458,-56.0,0.69
459,-56.0,0.69
460,-56.0,0.69
461,-56.0,0.69
462,-56.0,0.69
463,-56.0,0.69
464,-56.0,0.69
465,-56.0,0.69
466,-56.0,0.69
467,-56.0,0.69
468,-56.0,0.69
469,-56.0,0.69
470,-56.0,0.69
471,-56.0,0.69
472,-56.0,0.69
473,-56.0,0.69
474,-56.0,0.69
475,-57.0,0.69
476,-57.0,0.69
477,-57.0,0.69
478,-57.0,0.69
479,-57.0,0.69
480,-57.0,0.69
481,-57.0,0.69
482,-57.0,0.69
483,-57.0,0.69
484,-57.0,0.69
485,-57.0,0.69
486,-56.0,0.69
487,-56.0,0.69
488,-57.0,0.69
489,-57.0,0.69
490,-57.0,0.69
491,-57.0,0.69
492,-56.0,0.69
493,-56.0,0.69
494,-56.0,0.69
495,-56.0,0.69
496,-56.0,0.69
497,-56.0,0.69
498,-56.0,0.69
499,-56.0,0.69
500,-56.0,0.69
501,-56.0,0.69
502,-56.0,0.69
503,-56.0,0.69
504,-56.0,0.69
505,-56.0,0.69
506,-57.0,0.69
507,-57.0,0.69
508,-56.0,0.69
509,-56.0,0.69
510,-56.0,0.69
511,-57.0,0.69
512,-56.0,0.69
513,-57.0,0.69
514,-57.0,0.69
515,-57.0,0.69
516,-57.0,0.69
517,-57.0,0.69
518,-57.0,0.69
519,-57.0,0.69
520,-57.0,0.69
521,-57.0,0.69
522,-56.0,0.69
523,-56.0,0.69
524,-56.0,0.69
525,-56.0,0.69
526,-56.0,0.69
527,-56.0,0.69
528,-57.0,0.69
529,-56.0,0.69
530,-56.0,0.69
531,-56.0,0.69
532,-57.0,0.69
533,-57.0,0.69
534,-57.0,0.69
535,-57.0,0.69
536,-57.0,0.69
537,-57.0,0.69
538,-57.0,0.69
539,-57.0,0.69
540,-57.0,0.69
541,-57.0,0.69
542,-57.0,0.69
543,-57.0,0.69
544,-57.0,0.69
545,-58.0,0.69
546,-58.0,0.69
547,-57.0,0.69
548,-57.0,0.69
549,-57.0,0.69
550,-57.0,0.69
551,-57.0,0.69
552,-57.0,0.69
553,-57.0,0.69
554,-57.0,0.69
555,-58.0,0.69
556,-58.0,0.69
557,-57.0,0.69
558,-57.0,0.69
559,-58.0,0.69
560,-58.0,0.69
561,-58.0,0.69
562,-58.0,0.69
563,-58.0,0.69
564,-57.0,0.69
565,-57.0,0.69
566,-57.0,0.69
567,-57.0,0.69
568,-57.0,0.69
569,-57.0,0.69
570,-57.0,0.69
571,-58.0,0.69
572,-58.0,0.69
573,-58.0,0.69
574,-58.0,0.69
575,-58.0,0.69
576,-59.0,0.69
577,-59.0,0.69
578,-58.0,0.69
579,-58.0,0.69
580,-58.0,0.69
581,-58.0,0.69
582,-58.0,0.69
583,-58.0,0.69
584,-59.0,0.69
585,-59.0,0.69
586,-59.0,0.69
587,-59.0,0.69
588,-59.0,0.69
589,-59.0,0.69
590,-59.0,0.69
591,-59.0,0.69
592,-59.0,0.69
593,-59.0,0.69
594,-59.0,0.69
595,-59.0,0.69
596,-59.0,0.69
597,-59.0,0.69
598,-59.0,0.69
599,-59.0,0.69
600,-58.0,0.46
601,-56.0,0.46
602,-56.0,0.46
603,-56.0,0.46
604,-56.0,0.46
605,-56.0,0.46
606,-55.0,0.46
607,-56.0,0.46
608,-55.0,0.46
609,-55.0,0.46
610,-56.0,0.46
611,-56.0,0.46
612,-55.0,0.46
613,-55.0,0.46
614,-55.0,0.46
615,-55.0,0.46
616,-56.0,0.46
617,-56.0,0.46
618,-56.0,0.46
619,-55.0,0.46
620,-56.0,0.46
621,-56.0,0.46
622,-57.0,0.46
623,-57.0,0.46
624,-56.0,0.46
625,-57.0,0.46
626,-56.0,0.46
627,-57.0,0.46
628,-56.0,0.46
629,-56.0,0.46
630,-56.0,0.46
631,-56.0,0.46
632,-56.0,0.46
633,-57.0,0.46
634,-56.0,0.46
635,-57.0,0.46
636,-56.0,0.46
637,-56.0,0.46
638,-56.0,0.46
639,-56.0,0.46
640,-56.0,0.46
641,-56.0,0.46
642,-56.0,0.46
643,-56.0,0.46
644,-57.0,0.46
645,-56.0,0.46
646,-57.0,0.46
647,-56.0,0.46
648,-56.0,0.46
649,-56.0,0.46
650,-56.0,0.46
651,-56.0,0.46
652,-56.0,0.46
653,-57.0,0.46
654,-57.0,0.46
655,-57.0,0.46
656,-57.0,0.46
657,-57.0,0.46
658,-57.0,0.46
659,-57.0,0.46
660,-57.0,0.46
661,-57.0,0.46
662,-57.0,0.46
663,-57.0,0.46
664,-57.0,0.46
665,-57.0,0.46
666,-57.0,0.46
667,-57.0,0.46
668,-57.0,0.46
669,-57.0,0.46
670,-57.0,0.46
671,-57.0,0.46
